time,AAPL_Close,MSFT_Close,AMZN_Close,FB_Close,GOOGL_Close
2020-03-17 00:00:00-04:00,252.85,146.57,1807.38,149.42,1118.065
2020-03-18 00:00:00-04:00,249.0,142.13,1832.39,147.05,1096.1
2020-03-19 00:00:00-04:00,244.78,142.67,1880.5,153.03,1112.84
2020-03-20 00:00:00-04:00,228.74,136.77,1846.09,149.73,1067.83
2020-03-23 00:00:00-04:00,223.43,135.56,1902.54,147.8,1054.13
2020-03-24 00:00:00-04:00,246.88,148.34,1940.0,161.22,1131.0
2020-03-25 00:00:00-04:00,245.465,146.85,1885.78,156.16,1101.13
2020-03-26 00:00:00-04:00,258.48,156.11,1955.225,163.35,1162.92
2020-03-27 00:00:00-04:00,247.62,149.61,1899.92,156.77,1110.26
2020-03-30 00:00:00-04:00,254.79,160.3,1964.78,165.85,1146.31
2020-03-31 00:00:00-04:00,254.3,157.64,1949.79,166.79,1161.95
2020-04-01 00:00:00-04:00,240.76,151.94,1906.58,159.6,1101.9
2020-04-02 00:00:00-04:00,244.93,155.26,1918.83,158.2,1116.84
2020-04-03 00:00:00-04:00,241.43,153.8201,1906.6,154.19,1092.69
2020-04-06 00:00:00-04:00,262.285,165.27,1998.49,165.55,1183.4
2020-04-07 00:00:00-04:00,259.385,163.49,2011.6,168.83,1182.48
2020-04-08 00:00:00-04:00,266.04,165.11,2042.9,174.28,1207.0
2020-04-09 00:00:00-04:00,267.96,165.19,2042.82,175.2,1206.755
2020-04-13 00:00:00-04:00,273.23,165.51,2168.01,174.79,1211.21
2020-04-14 00:00:00-04:00,287.07,173.7,2283.31,178.14,1265.24
2020-04-15 00:00:00-04:00,284.45,171.94,2309.27,176.91,1257.29
2020-04-16 00:00:00-04:00,286.72,177.07,2408.19,176.28,1257.44
2020-04-17 00:00:00-04:00,282.74,178.6,2372.87,179.25,1279.04
2020-04-20 00:00:00-04:00,276.85,174.99,2393.08,178.26,1261.22
2020-04-21 00:00:00-04:00,268.36,167.67,2329.36,170.67,1210.08
2020-04-22 00:00:00-04:00,276.67,173.575,2370.0,182.96,1261.06
2020-04-23 00:00:00-04:00,274.87,171.43,2399.44,185.15,1271.62
2020-04-24 00:00:00-04:00,282.95,174.54,2410.0,190.1,1276.61
2020-04-27 00:00:00-04:00,283.25,174.03,2376.82,187.54,1270.86
2020-04-28 00:00:00-04:00,278.57,169.79,2314.08,182.86,1232.31
2020-04-29 00:00:00-04:00,287.83,177.3,2371.88,193.99,1341.221
2020-04-30 00:00:00-04:00,293.99,179.22,2471.5,204.71,1346.86
2020-05-01 00:00:00-04:00,289.07,174.5,2285.94,202.28,1317.3
2020-05-04 00:00:00-04:00,293.17,178.84,2315.99,205.24,1322.51
2020-05-05 00:00:00-04:00,297.78,180.76,2317.64,207.08,1349.65
2020-05-06 00:00:00-04:00,300.5,182.49,2350.97,208.46,1345.17
2020-05-07 00:00:00-04:00,303.75,183.6078,2367.61,211.3,1369.84
2020-05-08 00:00:00-04:00,310.1484,184.68,2379.5,212.35,1384.38
2020-05-11 00:00:00-04:00,315.005,186.65,2406.9375,213.18,1402.76
2020-05-12 00:00:00-04:00,311.51,182.38,2357.505,210.02,1375.25
2020-05-13 00:00:00-04:00,307.68,179.78,2366.17,205.14,1348.4
2020-05-14 00:00:00-04:00,309.7,180.61,2391.37,206.85,1357.08
2020-05-15 00:00:00-04:00,307.74,183.39,2410.41,211.04,1373.89
2020-05-18 00:00:00-04:00,314.89,184.9,2426.38,213.21,1385.18
2020-05-19 00:00:00-04:00,313.01,183.5,2448.59,216.88,1374.3
2020-05-20 00:00:00-04:00,319.16,185.66,2497.35,229.95,1409.18
2020-05-21 00:00:00-04:00,317.04,183.49,2448.01,231.37,1407.92
2020-05-22 00:00:00-04:00,318.89,183.51,2436.89,234.92,1413.23
2020-05-26 00:00:00-04:00,316.84,181.56,2423.7,232.16,1421.38
2020-05-27 00:00:00-04:00,318.08,181.81,2409.51,229.15,1420.28
2020-05-28 00:00:00-04:00,318.15,181.27,2401.05,225.33,1417.46
2020-05-29 00:00:00-04:00,318.76,183.96,2436.53,224.21,1432.4
2020-06-01 00:00:00-04:00,321.76,182.86,2470.12,231.94,1434.35
2020-06-02 00:00:00-04:00,323.42,185.0,2473.3,232.83,1443.0
